Product Name,Product url,Article_1_Score,Article_1_Title,Article_2_Score,Article_2_Title,Article_3_Score,Article_3_Title
Controllers - Accessories,https://www.digikey.com/en/products/filter/controllers/controller-accessories/816,100.0,NMI hosts industry conference in Glasgow with theme of growth,55.426,DigiKey introduces own-brand DigiKey Standard product line,46.171,CHIIPS podcast interview with industry veteran Ash Madni
"Hardware, Fasteners, Accessories",https://www.digikey.com/en/products/category/hardware-fasteners-accessories/26?s=N4IgjCBcoLQdIDGUAuAnArgUwDQgPZQDa4AnCALoC%2BNQA,32.996,Elektra Awards 2025 open for entries,14.953,NMI hosts industry conference in Glasgow with theme of growth,,
Wiring Blocks - Accessories,https://www.digikey.com/en/products/filter/modular-ethernet-connectors/modular-ethernet-connector-wiring-blocks-accessories/417,31.856,Elektra Awards 2025 open for entries,14.436,NMI hosts industry conference in Glasgow with theme of growth,,
"Display Modules - LCD, OLED Character and Numeric",https://www.digikey.com/en/products/filter/lcd-oled-character-and-numeric/99,11.393,DigiKey introduces own-brand DigiKey Standard product line,,,,
Logic,https://www.digikey.com/en/products/category/logic/2019,47.656,"Get Mannerisms, Gadget Master, the Daily and the Weekly, in newsletter form",,,,
Accessories,https://www.digikey.com/en/products/filter/backplane-connectors/backplane-connector-accessories/343,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
"Image Sensors, Camera",https://www.digikey.com/en/products/filter/optical-sensors/image-sensors-camera/532,10.089,IPC praises President Trump for defence industry support,,,,
Fans - Accessories,https://www.digikey.com/en/products/filter/fans/fan-accessories/223,50.664,Elektra Awards 2025 open for entries,22.959,NMI hosts industry conference in Glasgow with theme of growth,,
"Hardware, Fasteners, Accessories",https://www.digikey.com/en/products/category/hardware-fasteners-accessories/26,32.996,Elektra Awards 2025 open for entries,14.953,NMI hosts industry conference in Glasgow with theme of growth,,
Accessories,https://www.digikey.com/en/products/filter/test-and-measurement-accessories/613,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
Accessories,https://www.digikey.com/en/products/filter/external-internal-power-supply-accessories/131,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
Accessories,https://www.digikey.com/en/products/filter/accessories/925,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
AC DC Configurable Power Supply Modules,https://www.digikey.com/en/products/filter/ac-dc-configurable-power-supply-modules/136,13.66,DigiKey introduces own-brand DigiKey Standard product line,,,,
"Motor Driver Boards, Modules",https://www.digikey.com/en/products/filter/motor-driver-boards-modules/181,15.049,DigiKey introduces own-brand DigiKey Standard product line,,,,
Accessories - Caps,https://www.digikey.com/en/products/filter/accessories-caps/210,40.878,Elektra Awards 2025 open for entries,18.524,NMI hosts industry conference in Glasgow with theme of growth,,
"Sensors, Transducers",https://www.digikey.com/en/products/category/sensors-transducers/25?s=N4IgjCBcoLQBxVAYygMwIYBsDOBTANCAPZQDaIALBQKwiFwAMVdlAnLYWBQEwIC6AXyFA,19.24,IPC praises President Trump for defence industry support,,,,
Ionizer Equipment,https://www.digikey.com/en/products/filter/ionizer-equipment/609,31.856,IPC sets the industry on the path to sustainability,,,,
Accessories,https://www.digikey.com/en/products/filter/accessories/161,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
"Magnetic Sensors - Linear, Compass (ICs)",https://www.digikey.com/en/products/filter/magnetic-sensors/linear-compass-ics/554,8.972,IPC praises President Trump for defence industry support,,,,
Human Machine Interface (HMI),https://www.digikey.com/en/products/filter/human-machine-interface-hmi/machine-interface/946,100.0,"Elektra Awards 2025 looking for tech stars – companies, entrepreneurs and designers",26.46,IPC praises President Trump for defence industry support,,
"Patchbay, Jack Panel Accessories545Items",https://www.digikey.com/en/products/filter/patchbay-jack-panel-accessories/593,28.325,Auto hi-voltage detector claims fastest response time,24.808,Elektra Awards 2025 open for entries,11.242,NMI hosts industry conference in Glasgow with theme of growth
Test Leads - BNC Interface,https://www.digikey.com/en/products/filter/test-leads/bnc-interface/625,18.334,"Elektra Awards 2025 looking for tech stars – companies, entrepreneurs and designers",,,,
Accessories,https://www.digikey.com/en/products/filter/battery-product-accessories/87,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
Optical Sensors - Photodiodes,https://www.digikey.com/en/products/filter/optical-sensors/photodiodes/543,10.86,IPC praises President Trump for defence industry support,,,,
Equipment - Specialty,https://www.digikey.com/en/products/filter/test-equipment/specialty-equipment/618,38.21,IPC sets the industry on the path to sustainability,,,,
Accessories,https://www.digikey.com/en/products/category/terminal-blocks/terminal-block-accessories/2033,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
Card Rack Accessories,https://www.digikey.com/en/products/filter/card-rack-accessories/601,35.885,Elektra Awards 2025 open for entries,16.262,NMI hosts industry conference in Glasgow with theme of growth,,
Machine Vision - Cameras/Sensors,https://www.digikey.com/en/products/filter/machine-vision/camera-sensors/828,100.0,IPC praises President Trump for defence industry support,26.46,"Elektra Awards 2025 looking for tech stars – companies, entrepreneurs and designers",,
Accessories,https://www.digikey.com/en/products/filter/accessories/182,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
"Memory Cards, Modules",https://www.digikey.com/en/products/category/memory-modules-cards/24,19.327,DigiKey introduces own-brand DigiKey Standard product line,,,,
Programmable Oscillators,https://www.digikey.com/en/products/filter/programmable-oscillators/169,43.015,"Get Mannerisms, Gadget Master, the Daily and the Weekly, in newsletter form",,,,
VCOs (Voltage Controlled Oscillators),https://www.digikey.com/en/products/filter/vcos-voltage-controlled-oscillators/173,23.916,Imec launches Stuttgart advanced chip design accelerator,,,,
Accessories,https://www.digikey.com/en/products/filter/accessories/192,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
Accessories,https://www.digikey.com/en/products/filter/coaxial-connectors-rf/coaxial-connector-rf-accessories/342,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
Interface Modules,https://www.digikey.com/en/products/filter/terminal-blocks/interface-modules/431,31.891,"Elektra Awards 2025 looking for tech stars – companies, entrepreneurs and designers",25.521,DigiKey introduces own-brand DigiKey Standard product line,,
Accessories,https://www.digikey.com/en/products/filter/ac-power-connectors/power-entry-connector-accessories/341,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
Accessories,https://www.digikey.com/en/products/filter/accessories/159,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
"Cameras, Projectors",https://www.digikey.com/en/products/filter/cameras-projectors/898,32.117,IPC praises President Trump for defence industry support,,,,
Card Guide Accessories,https://www.digikey.com/en/products/filter/card-guide-accessories/600,31.41,Elektra Awards 2025 open for entries,14.234,NMI hosts industry conference in Glasgow with theme of growth,,
"Sensors, Transducers",https://www.digikey.com/en/products/category/sensors-transducers/25?s=N4IgjCBcoLQdIDGUAuAnArgUwDQgPZQDaIALABzkgC6AvvUA,19.24,IPC praises President Trump for defence industry support,,,,
Accessories - Jackscrews,https://www.digikey.com/en/products/filter/d-sub-d-shaped-connectors/d-sub-d-shaped-connector-jackscrews/447,37.165,Elektra Awards 2025 open for entries,16.842,NMI hosts industry conference in Glasgow with theme of growth,,
Accessories,https://www.digikey.com/en/products/filter/ffc-fpc-flat-flexible-connectors/ffc-fpc-flat-flexible-connector-accessories/350,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
Monitor - Current/Voltage Transducer,https://www.digikey.com/en/products/filter/monitors/current-voltage-transducer-monitors/807,100.0,Imec launches Stuttgart advanced chip design accelerator,,,,
"Evaluation Boards - Embedded - Complex Logic (FPGA, CPLD)",https://www.digikey.com/en/products/filter/evaluation-boards/embedded-complex-logic-fpga-cpld-evaluation-boards/796,17.08,"Get Mannerisms, Gadget Master, the Daily and the Weekly, in newsletter form",,,,
Accessories,https://www.digikey.com/en/products/filter/memory-card-module-accessories/500,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
"Sensors, Transducers",https://www.digikey.com/en/products/category/sensors-transducers/25?s=N4IgjCBcoLQBxVAYygMwIYBsDOBTANCAPZQDaIAzBQGwiFgCsctAugL4dA,19.24,IPC praises President Trump for defence industry support,,,,
"LED Lighting - COBs, Engines, Modules, Strips",https://www.digikey.com/en/products/filter/led-lighting-cobs-engines-modules-strips/111?s=N4IgjCBcoLQdIDGUBmBDANgZwKYBoQB7KAbRAE4AGEAXQF8Gg,12.01,DigiKey introduces own-brand DigiKey Standard product line,,,,
"Sensors, Transducers",https://www.digikey.com/en/products/category/sensors-transducers/25,19.24,IPC praises President Trump for defence industry support,,,,
Evaluation Boards - Sensors,https://www.digikey.com/en/products/filter/evaluation-boards/sensor-evaluation-boards/795,15.675,IPC praises President Trump for defence industry support,,,,
"Sensors, Transducers",https://www.digikey.com/en/products/category/sensors-transducers/25?s=N4IgjCBcoLQBxVAYygMwIYBsDOBTANCAPZQDaIALAJwDsIhcADFY-eGAMwIC6Avv0A,19.24,IPC praises President Trump for defence industry support,,,,
Optical Inspection Equipment,https://www.digikey.com/en/products/category/optical-inspection-equipment/42,27.462,IPC sets the industry on the path to sustainability,,,,
Accessories,https://www.digikey.com/en/products/filter/anti-static-esd-clean-room-accessories/603,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
Accessories,https://www.digikey.com/en/products/filter/d-sub-d-shaped-connectors/d-sub-d-shaped-connector-accessories/339,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
Fiber Optics - Transceiver Modules,https://www.digikey.com/en/products/filter/fiber-optic-transceiver-modules/118,15.239,DigiKey introduces own-brand DigiKey Standard product line,,,,
Fans - Accessories - Fan Cords,https://www.digikey.com/en/products/filter/fans/fan-cords/974,26.306,Elektra Awards 2025 open for entries,11.921,NMI hosts industry conference in Glasgow with theme of growth,,
Rack Accessories,https://www.digikey.com/en/products/filter/rack-accessories/598,45.316,Elektra Awards 2025 open for entries,20.535,NMI hosts industry conference in Glasgow with theme of growth,,
Accessories,https://www.digikey.com/en/products/filter/accessories/76,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
Industrial Supplies,https://www.digikey.com/en/products/category/industrial-supplies/49,66.121,IPC sets the industry on the path to sustainability,,,,
